Date,USGG2YR Index
1/23/1979,9.859
1/24/1979,9.859
1/25/1979,9.789
1/26/1979,9.679
1/29/1979,9.679
1/30/1979,9.689
1/31/1979,9.649
2/1/1979,9.619
2/2/1979,9.489
2/5/1979,9.539
2/6/1979,9.589
2/7/1979,9.679
2/8/1979,9.709
2/9/1979,9.709
2/13/1979,9.699
2/14/1979,9.679
2/15/1979,9.689
2/16/1979,9.689
2/19/1979,9.699
2/20/1979,9.719
2/21/1979,9.909
2/22/1979,9.929
2/23/1979,9.819
2/26/1979,9.919
2/27/1979,9.899
2/28/1979,9.899
3/1/1979,9.879
3/2/1979,9.879
3/5/1979,9.839
3/6/1979,9.839
3/7/1979,9.819
3/8/1979,9.769
3/9/1979,9.799
3/12/1979,9.819
3/13/1979,9.809
3/14/1979,9.829
3/15/1979,9.829
3/16/1979,9.849
3/19/1979,9.819
3/20/1979,9.799
3/21/1979,9.799
3/22/1979,9.779
3/23/1979,9.779
3/26/1979,9.769
3/27/1979,9.739
3/28/1979,9.719
3/29/1979,9.679
3/30/1979,9.729
4/2/1979,9.749
4/3/1979,9.739
4/4/1979,9.719
4/5/1979,9.689
4/6/1979,9.759
4/9/1979,9.819
4/10/1979,9.819
4/11/1979,9.859
4/12/1979,9.859
4/16/1979,9.869
4/17/1979,9.779
4/18/1979,9.719
4/19/1979,9.689
4/20/1979,9.739
4/23/1979,9.739
4/24/1979,9.759
4/25/1979,9.779
4/26/1979,9.809
4/27/1979,9.939
4/30/1979,9.919
5/1/1979,9.919
5/2/1979,9.919
5/3/1979,9.939
5/4/1979,9.949
5/7/1979,9.919
5/8/1979,9.919
5/9/1979,9.909
5/10/1979,9.929
5/11/1979,9.909
5/14/1979,9.879
5/15/1979,9.879
5/16/1979,9.849
5/17/1979,9.729
5/18/1979,9.719
5/21/1979,9.759
5/22/1979,9.699
5/23/1979,9.659
5/24/1979,9.589
5/25/1979,9.509
5/29/1979,9.509
5/31/1979,9.569
6/1/1979,9.569
6/4/1979,9.569
6/5/1979,9.509
6/6/1979,9.439
6/7/1979,9.299
6/8/1979,9.259
6/11/1979,9.279
6/12/1979,9.059
6/13/1979,9.089
6/14/1979,9.129
6/15/1979,9.249
6/18/1979,9.269
6/19/1979,9.249
6/20/1979,9.259
6/21/1979,9.259
6/22/1979,9.279
6/25/1979,9.209
6/26/1979,8.979
6/27/1979,8.929
6/28/1979,8.959
6/29/1979,8.979
7/2/1979,8.939
7/3/1979,8.959
7/5/1979,8.989
7/6/1979,9.009
7/9/1979,9.049
7/10/1979,9.049
7/11/1979,9.049
7/12/1979,9.019
7/13/1979,9.019
7/16/1979,9.089
7/17/1979,9.109
7/18/1979,9.109
7/19/1979,9.149
7/20/1979,9.249
7/23/1979,9.289
7/24/1979,9.339
7/25/1979,9.369
7/26/1979,9.259
7/27/1979,9.389
7/30/1979,9.329
7/31/1979,9.319
8/1/1979,9.239
8/2/1979,9.209
8/3/1979,9.279
8/6/1979,9.279
8/7/1979,9.229
8/8/1979,9.259
8/9/1979,9.279
8/10/1979,9.339
8/13/1979,9.349
8/14/1979,9.329
8/15/1979,9.419
8/16/1979,9.399
8/17/1979,9.449
8/20/1979,9.459
8/21/1979,9.519
8/22/1979,9.559
8/23/1979,9.639
8/24/1979,9.729
8/27/1979,9.689
8/28/1979,9.739
8/29/1979,9.739
8/30/1979,9.779
8/31/1979,9.849
9/4/1979,10.009
9/5/1979,10.029
9/6/1979,10.039
9/7/1979,10.109
9/10/1979,10.139
9/11/1979,10.009
9/12/1979,10.049
9/13/1979,10.109
9/14/1979,10.029
9/17/1979,10.139
9/18/1979,10.149
9/19/1979,10.089
9/20/1979,10.039
9/21/1979,10.009
9/24/1979,10.019
9/25/1979,10.019
9/26/1979,10.029
9/27/1979,10.119
