Date,APPLE
1981-08-21,0.06910844147205353
1981-08-24,0.06481552869081497
1981-08-25,0.0665331780910492
1981-08-26,0.06524472683668137
1981-08-27,0.06567394733428955
1981-08-28,0.06910844147205353
1981-08-31,0.06910844147205353
1981-09-01,0.0734005868434906
1981-09-02,0.07468826323747635
1981-09-03,0.07082530856132507
1981-09-04,0.0699668675661087
1981-09-08,0.06782082468271255
1981-09-09,0.06782082468271255
1981-09-10,0.06825000792741776
1981-09-11,0.06739161908626556
1981-09-14,0.06524472683668137
1981-09-15,0.0635279044508934
1981-09-16,0.062240246683359146
1981-09-17,0.0605233758687973
1981-09-18,0.060952574014663696
1981-09-21,0.061381809413433075
1981-09-22,0.05794806033372879
1981-09-23,0.056660402566194534
1981-09-24,0.05623119696974754
1981-09-25,0.048933763056993484
